,Poll,Sanders ,Biden ,Warren ,Bloomberg ,Buttigieg ,Klobuchar ,Steyer ,Gabbard ,Start Date,End Date,Population,Sample Size,Spread Val,Lead,Mid Date
24,KGTV-TV/SurveyUSA,17.0,33.0,18.0,,4.0,1.0,1.0,1.0,2019-10-15,2019-10-16,LV,553.0,15,Biden,2019-10-15 12:00:00
25,PPIC,21.0,22.0,23.0,,6.0,1.0,1.0,,2019-09-16,2019-09-25,LV,692.0,1,Warren,2019-09-20 12:00:00
26,LA Times/Berkeley,19.0,20.0,29.0,,6.0,2.0,0.0,1.0,2019-09-13,2019-09-18,LV,2272.0,9,Warren,2019-09-15 12:00:00
27,KGTV-TV/SurveyUSA,18.0,27.0,16.0,,3.0,1.0,,,2019-09-13,2019-09-15,LV,547.0,9,Biden,2019-09-14 00:00:00
28,Emerson,26.0,26.0,20.0,,4.0,0.0,1.0,2.0,2019-09-13,2019-09-16,LV,424.0,Tie ,Tie ,2019-09-14 12:00:00
29,KQED/NPR,23.0,18.0,25.0,,10.0,1.0,0.0,2.0,2019-09-12,2019-09-15,LV,3325.0,2,Warren,2019-09-13 12:00:00
30,KGTV-TV/SurveyUSA,18.0,25.0,21.0,,6.0,0.0,0.0,1.0,2019-08-01,2019-08-05,LV,528.0,4,Biden,2019-08-03 00:00:00
31,CBS News/YouGov,16.0,24.0,19.0,,6.0,1.0,1.0,1.0,2019-07-09,2019-07-18,LV,1514.0,1,Biden,2019-07-13 12:00:00
32,Quinnipiac,18.0,21.0,16.0,,3.0,0.0,0.0,0.0,2019-07-10,2019-07-15,RV,1125.0,2,Harris,2019-07-12 12:00:00
33,LA Times/Berkeley,17.0,22.0,18.0,,10.0,1.0,,,2019-06-04,2019-06-10,LV,2131.0,4,Biden,2019-06-07 00:00:00
34,Quinnipiac,18.0,26.0,7.0,,7.0,2.0,,1.0,2019-04-03,2019-04-08,RV,482.0,8,Biden,2019-04-05 12:00:00
